Mozilla/5.0 (Linux; Android 9.0; LG Isai VL) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.0.0 Safari/537.36 OPR/95.0.4447.38
Mozilla/5.0 (Linux; Android 8.1.0; LG G8X ThinQ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.0.0 Safari/537.36 OPR/115.0.0.0
Mozilla/5.0 (Linux; Android 8.1.0; Realme C2s) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 OPR/115.0.0.0
Mozilla/5.0 (Linux; Android 11; Vivo X23) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 12; Samsung Galaxy Note SGH-i717) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36 OPR/97.0.0.0
Mozilla/5.0 (Linux; Android 11; Alcatel One Touch Idol 3 4.7 Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 11; Samsung Galaxy Note II Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36 OPR/116.0.0.0
Mozilla/5.0 (Linux; Android 9.0; Sony Xperia TX) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 OPR/102.0.4447.38
Mozilla/5.0 (Linux; Android 11; Samsung Rex 70 S3802) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 OPR/98.0.0.0
Mozilla/5.0 (Linux; Android 8.1.0; LG T510) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 OPR/100.0.0.0
Mozilla/5.0 (Linux; Android 10; Motorola Moto G6 Plus) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.0.0 Safari/537.36 OPR/104.0.0.0
Mozilla/5.0 (Linux; Android 13; Oppo A53s) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/110.0.2987.108 UCBrowser/105 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 10; LG Vortex) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.0.0 Safari/537.36 OPR/114.0.4447.38
Mozilla/5.0 (Linux; Android 13; Oppo A71) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Safari/537.36 OPR/108.0.0.0
Mozilla/5.0 (Linux; Android 12; Huawei Enjoy 10s) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.0.0 Safari/537.36 OPR/98.0.0.0
Mozilla/5.0 (Linux; Android 9.0; Motorola Moto G22 Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36 OPR/114.0.4447.38
Mozilla/5.0 (Linux; Android 12; i-mobile IQ 5.1A) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.0.0 Safari/537.36 OPR/97.0.0.0
Mozilla/5.0 (Linux; Android 9.0; Samsung Galaxy Core 2 G3556D) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/106.0.2987.108 UCBrowser/105 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 8.1.0; Honor X8 Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36 OPR/96.0.0.0
Mozilla/5.0 (Linux; Android 11; Samsung Galaxy A6+ Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.0.0 Safari/537.36 OPR/97.0.0.0
Mozilla/5.0 (Linux; Android 13; Intex aqua Ace Mini) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.0.0 Safari/537.36 OPR/117.0.0.0
Mozilla/5.0 (Linux; Android 13; Samsung Galaxy M32 India) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36 OPR/118.0.0.0
Mozilla/5.0 (Linux; Android 10; Alcatel 1 2021 Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 13; ZTE Axon 30 Ultra Taikonaut) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 10; Samsung Galaxy Tab A 10.5 (2018)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 OPR/113.0.0.0
Mozilla/5.0 (Linux; Android 8.1.0; Huawei Nova 5i) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 8.1.0; Nokia Lumia 800) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 9.0; Panasonic Eluga Ray 530) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 OPR/95.0.0.0
Mozilla/5.0 (Linux; Android 8.1.0; Honor X30) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.0.0 Safari/537.36 OPR/101.0.0.0
Mozilla/5.0 (Linux; Android 12; Motorola Moto Edge S30) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.0.0 Safari/537.36 OPR/120.0.4447.38
Mozilla/5.0 (Linux; Android 12; Motorola Moto G Stylus 5G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.0.0 Safari/537.36 OPR/114.0.0.0
Mozilla/5.0 (Linux; Android 13; Samsung Galaxy A03 Core Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 OPR/97.0.4447.38
Mozilla/5.0 (Linux; Android 11; Huawei Y635 Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 OPR/120.0.0.0
Mozilla/5.0 (Linux; Android 8.1.0; Honor 70 Pro) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 OPR/96.0.0.0
Mozilla/5.0 (Linux; Android 10; i-mobile i-STYLE 221) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 10; Redmi 7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 OPR/102.0.0.0
Mozilla/5.0 (Linux; Android 11; Micromax Bharat 3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36 OPR/117.0.0.0
Mozilla/5.0 (Linux; Android 12; Vivo Xplay) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 11; Hisense U40) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/91.0.2987.108 UCBrowser/94 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 10; ZTE Blade 11 Prime) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 OPR/115.0.0.0
Mozilla/5.0 (Linux; Android 10; Keneksi HemeraKeneksi Hemera) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36 OPR/99.0.0.0
Mozilla/5.0 (Linux; Android 13; Itel A44 AirItel A44 Air) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36 OPR/107.0.0.0
Mozilla/5.0 (Linux; Android 13; ZTE Zmax 2) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/108.0.2987.108 UCBrowser/110 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 10; Samsung Galaxy Tab A 8.0 2019 WiFiSamsung Galaxy Tab A 8.0 2019 WiFi) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 OPR/96.0.4447.38
Mozilla/5.0 (Linux; Android 13; LG Zero H650K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36 OPR/100.0.0.0
Mozilla/5.0 (Linux; Android 11; ZTE Imperial II) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.0.0 Safari/537.36 OPR/116.0.4447.38
Mozilla/5.0 (Linux; Android 12; Archos 55 Helium Plus) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 OPR/99.0.0.0
Mozilla/5.0 (Linux; Android 9.0; Nokia Lumia 1020) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 OPR/111.0.0.0
Mozilla/5.0 (Linux; Android 12; ZTE Prelude) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 OPR/107.0.0.0
Mozilla/5.0 (Linux; Android 10; Samsung Galaxy S II TV) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 11; Oppo Find X3 Neo) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.0.0 Safari/537.36 OPR/109.0.0.0
Mozilla/5.0 (Linux; Android 9.0; Sony Xperia Z3+) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 OPR/96.0.4447.38
Mozilla/5.0 (Linux; Android 11; Samsung Galaxy Grand Neo Plus) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 OPR/101.0.0.0
Mozilla/5.0 (Linux; Android 11; Huawei Y3II) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.0.0 Safari/537.36 OPR/111.0.0.0
Mozilla/5.0 (Linux; Android 9.0; Micromax Canvas Pep) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.0.0 Safari/537.36 OPR/111.0.4447.38
Mozilla/5.0 (Linux; Android 10; LG G Pro Lite Dual) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/96.0.2987.108 UCBrowser/108 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 11; Tecno Spark 4 AirTecno Spark 4 Air) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 13; LG Lucid 3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36 OPR/103.0.0.0
Mozilla/5.0 (Linux; Android 9.0; Huawei Y8s) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.0.0 Safari/537.36 OPR/113.0.0.0
Mozilla/5.0 (Linux; Android 13; Samsung Galaxy S10+ Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.0.0 Safari/537.36 OPR/104.0.0.0
Mozilla/5.0 (Linux; Android 11; Sharp Aquos SH80F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36 OPR/119.0.0.0
Mozilla/5.0 (Linux; Android 8.1.0; Sony Xperia XA2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36 OPR/103.0.0.0
Mozilla/5.0 (Linux; Android 13; Motorola Moto C Plus Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 OPR/119.0.0.0
Mozilla/5.0 (Linux; Android 11; Micromax EG116) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 12; LG Signature Edition 2018) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 OPR/97.0.0.0
Mozilla/5.0 (Linux; Android 10; Samsung Galaxy Core 4G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36 OPR/95.0.0.0
Mozilla/5.0 (Linux; Android 11; Oppo A72 5G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 8.1.0; Samsung Galaxy Wide4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36 OPR/105.0.4447.38
Mozilla/5.0 (Linux; Android 13; Infinix Smart 4CInfinix Smart 4C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36 OPR/107.0.0.0
Mozilla/5.0 (Linux; Android 10; Micromax X458) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.0.0 Safari/537.36 OPR/111.0.0.0
Mozilla/5.0 (Linux; Android 12; Huawei Nova Lite 3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.0.0 Safari/537.36 OPR/114.0.0.0
Mozilla/5.0 (Linux; Android 12; Samsung Galaxy A22 Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36 OPR/111.0.0.0
Mozilla/5.0 (Linux; Android 13; Sharp Aquos P1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.0.0 Safari/537.36 OPR/115.0.0.0
Mozilla/5.0 (Linux; Android 8.1.0; Motorola XT720 Milestone) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 OPR/105.0.0.0
Mozilla/5.0 (Linux; Android 11; Samsung Galaxy S Light Luxury) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 9.0; Samsung Galaxy J7 2016 SM-J7109) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.0.0 Safari/537.36 OPR/100.0.0.0
Mozilla/5.0 (Linux; Android 11; Samsung Galaxy M33 Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/115.0.2987.108 UCBrowser/95 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 10; Oukitel U23) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.0.0 Safari/537.36 OPR/103.0.0.0
Mozilla/5.0 (Linux; Android 12; Samsung Galaxy S10+ Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36 OPR/101.0.4447.38
Mozilla/5.0 (Linux; Android 11; Keneksi SoulKeneksi Soul) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36 OPR/113.0.0.0
Mozilla/5.0 (Linux; Android 11; Itel Power Pro P41Itel Power Pro P41) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 8.1.0; Wiko View 4 Lite) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36 OPR/115.0.0.0
Mozilla/5.0 (Linux; Android 8.1.0; Irbis SP494Irbis SP494) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.0.0 Safari/537.36 OPR/111.0.0.0
Mozilla/5.0 (Linux; Android 11; Alcatel 3X Plus) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 OPR/108.0.0.0
Mozilla/5.0 (Linux; Android 10; Samsung Galaxy C9 Pro 4G+ Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.0.0 Safari/537.36 OPR/101.0.0.0
Mozilla/5.0 (Linux; Android 12; Archos 53 Titanium) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 8.1.0; Sharp Aquos Phone SHL23) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 OPR/108.0.0.0
Mozilla/5.0 (Linux; Android 11; Acer Liquid Jade S55Acer Liquid Jade S55) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.0.0 Safari/537.36 OPR/113.0.0.0
Mozilla/5.0 (Linux; Android 12; Micromax EG116) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36 OPR/106.0.0.0
Mozilla/5.0 (Linux; Android 8.1.0; Nokia 808 Pure View) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.0.0 Safari/537.36 OPR/111.0.0.0
Mozilla/5.0 (Linux; Android 13; Samsung Galaxy M31 Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 OPR/108.0.0.0
Mozilla/5.0 (Linux; Android 11; I Kall Z7I Kall Z7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Safari/537.36 OPR/100.0.0.0
Mozilla/5.0 (Linux; Android 9.0; Alcatel OT 993D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.0.0 Safari/537.36 OPR/118.0.0.0
Mozilla/5.0 (Linux; Android 8.1.0; Lenovo A750) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/95.0.2987.108 UCBrowser/100 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 12; Itel A56 ProItel A56 Pro) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 OPR/97.0.0.0
Mozilla/5.0 (Linux; Android 8.1.0; Samsung Galaxy Tab S6 Lite WiFiSamsung Galaxy Tab S6 Lite WiFi) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 OPR/120.0.0.0
Mozilla/5.0 (Linux; Android 12; Lenovo K14 Plus) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.0.0 Safari/537.36 OPR/114.0.0.0
Mozilla/5.0 (Linux; Android 8.1.0; Micromax A105) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36 OPR/108.0.0.0
Mozilla/5.0 (Linux; Android 11; LG G3 Beat) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.0.0 Safari/537.36 OPR/103.0.0.0
Mozilla/5.0 (Linux; Android 13; ZTE Blade Z10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36 OPR/105.0.0.0
Mozilla/5.0 (Linux; Android 8.1.0; Samsung Continuum) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36 OPR/100.0.4447.38
Mozilla/5.0 (Linux; Android 13; Vivo Z1i) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.0.0 Safari/537.36 OPR/119.0.0.0
Mozilla/5.0 (Linux; Android 12; InFocus M511InFocus M511) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 OPR/101.0.0.0
Mozilla/5.0 (Linux; Android 13; LG MS25 Genius) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.0.0 Safari/537.36 OPR/118.0.0.0
Mozilla/5.0 (Linux; Android 13; Xiaomi Mi 10S) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 OPR/110.0.0.0
Mozilla/5.0 (Linux; Android 9.0; Motorola Moto E7i Power) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/97.0.2987.108 UCBrowser/109 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 11; Lenovo K3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.0.0 Safari/537.36 OPR/107.0.0.0
Mozilla/5.0 (Linux; Android 10; Philips S700) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 OPR/109.0.0.0
Mozilla/5.0 (Linux; Android 8.1.0; Lenovo A60+) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36 OPR/95.0.0.0
Mozilla/5.0 (Linux; Android 12; Oppo R11 Plus) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.0.0 Safari/537.36 OPR/95.0.0.0
Mozilla/5.0 (Linux; Android 12; Wiko Pulp) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 OPR/102.0.0.0
Mozilla/5.0 (Linux; Android 9.0; Oppo Realme 1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 8.1.0; Xiaomi Mi A2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 13; LG Optimus L7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 OPR/104.0.0.0
Mozilla/5.0 (Linux; Android 13; Samsung Galaxy J2 Duos) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 10; Micromax In Note 1) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.2987.108 UCBrowser/96 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 12; Sony Xperia PRO) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 OPR/101.0.4447.38
Mozilla/5.0 (Linux; Android 9.0; Gigabyte GSmart GuruGigabyte GSmart Guru) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.0.0 Safari/537.36 OPR/120.0.0.0
Mozilla/5.0 (Linux; Android 11; Nokia Lumia 800) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/101.0.2987.108 UCBrowser/103 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 12; Micromax X456) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.0.0 Safari/537.36 OPR/113.0.0.0
Mozilla/5.0 (Linux; Android 11; Oppo F1 Plus) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36 OPR/120.0.4447.38
Mozilla/5.0 (Linux; Android 12; Intex aqua Desire HD) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.0.0 Safari/537.36 OPR/109.0.0.0
Mozilla/5.0 (Linux; Android 10; Alcatel 3V Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.0.0 Safari/537.36 OPR/120.0.0.0
Mozilla/5.0 (Linux; Android 8.1.0; i-mobile IQ 5.9 DTV) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 OPR/112.0.4447.38
Mozilla/5.0 (Linux; Android 11; Realme GT Neo3 Naruto) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36 OPR/101.0.0.0
Mozilla/5.0 (Linux; Android 13; Lenovo A698t) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 OPR/116.0.0.0
Mozilla/5.0 (Linux; Android 8.1.0; Vivo Y21e) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36 OPR/103.0.0.0
Mozilla/5.0 (Linux; Android 10; Hisense Infinity E30SE) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 10; Intex Indie 5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36 OPR/98.0.0.0
Mozilla/5.0 (Linux; Android 13; Oppo R17) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 12; Intex aqua Air) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 OPR/110.0.0.0
Mozilla/5.0 (Linux; Android 13; Sony Xperia Z2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36 OPR/103.0.0.0
Mozilla/5.0 (Linux; Android 11; Oppo Ace 2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.0.0 Safari/537.36 OPR/101.0.0.0
Mozilla/5.0 (Linux; Android 8.1.0; Huawei MatePad 10.4 WiFiHuawei MatePad 10.4 WiFi) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.0.0 Safari/537.36 OPR/109.0.0.0
Mozilla/5.0 (Linux; Android 11; iBall Andi 4 IPS TigeriBall Andi 4 IPS Tiger) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.0.0 Safari/537.36 OPR/114.0.0.0
Mozilla/5.0 (Linux; Android 11; Intex aqua Extreme V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 13; Sharp Aquos Ever SH-04G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36 OPR/100.0.0.0
Mozilla/5.0 (Linux; Android 9.0; Oukitel K9 Pro) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/110.0.2987.108 UCBrowser/111 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 11; LG Tribute Dynasty) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.0.0 Safari/537.36 OPR/97.0.0.0
Mozilla/5.0 (Linux; Android 9.0; Samsung Galaxy A20 Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 OPR/98.0.0.0
Mozilla/5.0 (Linux; Android 13; Archos Saphir 50X) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 OPR/105.0.0.0
